NUTS code,x1997,GVA % 1997,x1998,GVA % 1998,x1999,GVA % 1999,x2000,GVA % 2000,x2001,GVA % 2001,x2002,GVA % 2002,x2003,GVA % 2003,x2004,GVA % 2004,x2005,GVA % 2005,x2006,GVA % 2006,x2007,GVA % 2007,x2008,GVA % 2008,x2009,GVA % 2009,x2010,GVA % 2010,x2011,GVA % 2011,x2012,GVA % 2012,x2013,GVA % 2013,x2014,GVA % 2014,x2015,GVA % 2015,x2016,GVA % 2016,x2017,GVA % 2017,Percentage change
UKI52,"11,962",81.35%,"12,439",81.44%,"12,916",81.96%,"13,235",79.79%,"13,567",78.99%,"14,040",78.29%,"14,814",78.36%,"15,427",78.33%,"16,102",77.75%,"16,758",77.16%,"17,732",78.32%,"17,886",77.35%,"16,638",73.99%,"17,089",75.02%,"17,329",74.69%,"18,286",76.90%,"18,655",76.02%,"19,026",74.67%,"19,193",73.86%,"19,028",71.14%,"19,440",70.87%,-10.48%
UKI71,"14,473",98.43%,"15,143",99.15%,"15,740",99.89%,"16,570",99.89%,"16,615",96.74%,"17,328",96.62%,"18,352",97.07%,"18,962",96.27%,"19,698",95.12%,"20,410",93.98%,"21,636",95.57%,"22,466",97.15%,"21,251",94.51%,"21,592",94.79%,"21,920",94.47%,"22,447",94.39%,"23,269",94.82%,"25,339",99.45%,"25,455",97.95%,"25,403",94.97%,"25,950",94.60%,-3.82%
UKE31,"9,039",61.47%,"9,615",62.95%,"9,541",60.55%,"10,069",60.70%,"10,428",60.72%,"11,236",62.65%,"12,094",63.97%,"12,979",65.90%,"13,411",64.76%,"14,043",64.66%,"14,952",66.04%,"14,370",62.14%,"13,938",61.99%,"14,397",63.20%,"14,444",62.25%,"14,608",61.43%,"15,162",61.78%,"15,774",61.91%,"16,661",64.11%,"17,195",64.28%,"17,404",63.45%,1.98%
UKK12,"13,950",94.87%,"14,745",96.54%,"14,934",94.77%,"15,659",94.40%,"17,112",99.63%,"17,964",100.17%,"19,491",103.10%,"20,094",102.02%,"21,219",102.46%,"21,857",100.64%,"22,755",100.51%,"23,743",102.68%,"23,165",103.02%,"24,150",106.02%,"24,437",105.32%,"24,655",103.68%,"25,471",103.79%,"26,994",105.94%,"26,880",103.44%,"27,690",103.52%,"28,051",102.26%,7.39%
UKH24,"14,086",95.80%,"14,508",94.99%,"14,258",90.48%,"14,956",90.16%,"15,277",88.95%,"15,962",89.00%,"17,249",91.24%,"18,041",91.60%,"18,978",91.64%,"19,534",89.94%,"20,544",90.74%,"20,822",90.04%,"20,768",92.36%,"20,698",90.86%,"21,364",92.08%,"20,942",88.07%,"21,342",86.96%,"22,266",87.39%,"23,691",91.16%,"23,846",89.15%,"24,622",89.76%,-6.03%
UKJ11,"23,210",157.85%,"24,810",162.44%,"26,873",170.54%,"27,558",166.13%,"27,893",162.40%,"30,186",168.32%,"31,823",168.33%,"32,002",162.48%,"34,241",165.34%,"35,336",162.70%,"35,902",158.58%,"36,050",155.90%,"34,786",154.70%,"35,141",154.27%,"36,369",156.75%,"37,229",156.56%,"38,057",155.08%,"38,665",151.75%,"39,697",152.76%,"40,300",150.66%,"40,343",147.08%,-10.77%
UKI51,"11,348",77.18%,"11,882",77.80%,"12,514",79.41%,"13,044",78.64%,"13,318",77.54%,"13,711",76.45%,"14,400",76.17%,"14,892",75.61%,"15,619",75.42%,"16,382",75.43%,"17,352",76.64%,"17,289",74.77%,"16,567",73.68%,"16,594",72.85%,"16,873",72.72%,"17,404",73.19%,"18,088",73.71%,"18,662",73.24%,"18,399",70.80%,"18,136",67.80%,"18,751",68.36%,-8.82%
UKG31,"13,627",92.68%,"14,613",95.68%,"15,185",96.36%,"15,551",93.75%,"16,565",96.45%,"16,773",93.53%,"17,636",93.29%,"18,065",91.72%,"18,727",90.43%,"19,009",87.53%,"20,094",88.75%,"20,164",87.20%,"19,655",87.41%,"19,765",86.77%,"20,152",86.85%,"20,315",85.43%,"21,142",86.15%,"21,909",85.99%,"22,642",87.13%,"24,218",90.54%,"24,761",90.27%,-2.41%
UKD41,"11,694",79.53%,"11,998",78.56%,"12,444",78.97%,"12,729",76.74%,"12,526",72.93%,"13,056",72.80%,"13,682",72.37%,"14,758",74.93%,"15,189",73.34%,"15,352",70.69%,"16,549",73.10%,"17,004",73.53%,"15,885",70.64%,"15,486",67.98%,"16,318",70.33%,"16,998",71.48%,"17,895",72.92%,"18,986",74.51%,"18,985",73.06%,"20,008",74.80%,"20,566",74.98%,-4.55%
UKD42,"10,314",70.14%,"10,861",71.11%,"11,650",73.93%,"11,713",70.61%,"11,792",68.66%,"12,952",72.22%,"12,782",67.61%,"13,272",67.38%,"13,892",67.08%,"14,596",67.21%,"14,426",63.72%,"13,992",60.51%,"14,337",63.76%,"14,767",64.83%,"14,973",64.53%,"15,109",63.54%,"15,311",62.39%,"15,625",61.32%,"16,311",62.77%,"16,813",62.85%,"17,382",63.37%,-6.78%
UKK21,"14,151",96.24%,"14,562",95.34%,"15,027",95.36%,"15,964",96.24%,"16,390",95.43%,"16,692",93.07%,"18,013",95.28%,"18,178",92.29%,"19,800",95.61%,"20,671",95.18%,"21,255",93.88%,"21,585",93.34%,"22,162",98.56%,"20,907",91.78%,"21,109",90.98%,"21,700",91.25%,"22,637",92.24%,"23,263",91.30%,"23,745",91.37%,"24,785",92.66%,"25,504",92.98%,-3.26%
UKE41,"11,614",78.99%,"12,161",79.62%,"12,915",81.96%,"13,214",79.66%,"13,253",77.16%,"13,888",77.44%,"14,373",76.03%,"14,532",73.78%,"14,726",71.11%,"15,830",72.89%,"16,701",73.77%,"16,606",71.81%,"16,864",75.00%,"15,935",69.95%,"16,221",69.91%,"16,626",69.92%,"17,238",70.24%,"17,578",68.99%,"18,572",71.47%,"18,942",70.81%,"19,045",69.43%,-9.55%
UKH17,"12,027",81.79%,"12,163",79.64%,"12,494",79.29%,"12,901",77.77%,"13,255",77.18%,"13,603",75.85%,"14,243",75.34%,"14,770",74.99%,"15,281",73.79%,"15,954",73.46%,"16,039",70.84%,"16,697",72.21%,"16,396",72.92%,"17,324",76.05%,"17,848",76.92%,"18,954",79.71%,"19,067",77.69%,"20,022",78.58%,"20,369",78.38%,"20,520",76.71%,"20,422",74.45%,-7.34%
