"","lad19nm","lad19cd","lad19nmw","nuts318cd"
"0","Hartlepool","E06000001"," ","UKC11"
"1","Middlesbrough","E06000002"," ","UKC12"
"2","Redcar and Cleveland","E06000003"," ","UKC12"
"3","Stockton-on-Tees","E06000004"," ","UKC11"
"4","Darlington","E06000005"," ","UKC13"
"5","Halton","E06000006"," ","UKD71"
"6","Warrington","E06000007"," ","UKD61"
"7","Blackburn with Darwen","E06000008"," ","UKD41"
"8","Blackpool","E06000009"," ","UKD42"
"9","Slough","E06000039"," ","UKJ11"
"10","Windsor and Maidenhead","E06000040"," ","UKJ11"
"11","Wokingham","E06000041"," ","UKJ11"
"12","Milton Keynes","E06000042"," ","UKJ12"
"13","Brighton and Hove","E06000043"," ","UKJ21"
"14","Portsmouth","E06000044"," ","UKJ31"
"15","Brentwood","E07000068"," ","UKH36"
"16","City of London","E09000001"," ","UKI31"
"17","Barking and Dagenham","E09000002"," ","UKI52"
"18","Barnet","E09000003"," ","UKI71"
"19","Kingston upon Hull, City of","E06000010"," ","UKE11"
"20","East Riding of Yorkshire","E06000011"," ","UKE12"
"21","North East Lincolnshire","E06000012"," ","UKE13"
"22","North Lincolnshire","E06000013"," ","UKE13"
"23","York","E06000014"," ","UKE21"
"24","Derby","E06000015"," ","UKF11"
"25","Leicester","E06000016"," ","UKF21"
"26","Rutland","E06000017"," ","UKF22"
"27","Nottingham","E06000018"," ","UKF14"
"28","Herefordshire, County of","E06000019"," ","UKG11"
"29","Telford and Wrekin","E06000020"," ","UKG21"
"30","Stoke-on-Trent","E06000021"," ","UKG23"
"31","Bath and North East Somerset","E06000022"," ","UKK12"
"32","Bristol, City of","E06000023"," ","UKK12"
"33","North Somerset","E06000024"," ","UKK12"
"34","South Gloucestershire","E06000025"," ","UKK12"
"35","Plymouth","E06000026"," ","UKK41"
"36","Torbay","E06000027"," ",NA
"37","Swindon","E06000030"," ","UKK14"
"38","Peterborough","E06000031"," ","UKH11"
"39","Luton","E06000032"," ","UKH21"
"40","Southend-on-Sea","E06000033"," ","UKH31"
"41","Thurrock","E06000034"," ","UKH32"
"42","Medway","E06000035"," ","UKJ41"
"43","Bracknell Forest","E06000036"," ","UKJ11"
"44","West Berkshire","E06000037"," ","UKJ11"
"45","Bournemouth, Christchurch and Poole","E06000058"," ","UKK21"
"46","Dorset","E06000059"," ","UKK22"
"47","Aylesbury Vale","E07000004"," ","UKJ13"
"48","Chiltern","E07000005"," ","UKJ13"
"49","South Bucks","E07000006"," ","UKJ13"
"50","Wycombe","E07000007"," ","UKJ13"
"51","Charnwood","E07000130"," ","UKF22"
"52","Harborough","E07000131"," ","UKF22"
"53","Hinckley and Bosworth","E07000132"," ","UKF22"
"54","Melton","E07000133"," ","UKF22"
"55","North West Leicestershire","E07000134"," ","UKF22"
"56","Bexley","E09000004"," ","UKI51"
"57","Reading","E06000038"," ","UKJ11"
"58","Southampton","E06000045"," ","UKJ32"
"59","Isle of Wight","E06000046"," ","UKJ34"
"60","County Durham","E06000047"," ","UKC14"
"61","Cheshire East","E06000049"," ","UKD62"
"62","Cheshire West and Chester","E06000050"," ","UKD63"
"63","Shropshire","E06000051"," ","UKG22"
"64","Cornwall","E06000052"," ","UKK30"
"65","Isles of Scilly","E06000053"," ",NA
"66","Wiltshire","E06000054"," ","UKK15"
"67","Bedford","E06000055"," ","UKH24"
"68","Central Bedfordshire","E06000056"," ","UKH25"
"69","Northumberland","E06000057"," ","UKC21"
"70","Cambridge","E07000008"," ","UKH12"
"71","East Cambridgeshire","E07000009"," ","UKH12"
"72","Fenland","E07000010"," ","UKH12"
"73","Huntingdonshire","E07000011"," ","UKH12"
"74","South Cambridgeshire","E07000012"," ","UKH12"
"75","Allerdale","E07000026"," ","UKD11"
"76","Barrow-in-Furness","E07000027"," ","UKD11"
"77","Carlisle","E07000028"," ","UKD12"
"78","Copeland","E07000029"," ","UKD11"
"79","Eden","E07000030"," ","UKD12"
"80","South Lakeland","E07000031"," ","UKD12"
"81","Amber Valley","E07000032"," ","UKF13"
"82","Bolsover","E07000033"," ","UKF12"
"83","Chesterfield","E07000034"," ","UKF12"
"84","Derbyshire Dales","E07000035"," ","UKF13"
"85","Erewash","E07000036"," ","UKF13"
"86","High Peak","E07000037"," ","UKF13"
"87","North East Derbyshire","E07000038"," ","UKF12"
"88","South Derbyshire","E07000039"," ","UKF13"
"89","East Devon","E07000040"," ","UKK43"
"90","Exeter","E07000041"," ","UKK43"
"91","Mid Devon","E07000042"," ","UKK43"
